CLASS;FC;FE;CL;SOMCPH;FTOTAL;FRNAPH;FRNAPH I;FRNAPH II;FRNAPH III;FRNAPH IV;RYC2056;COP;ETHYLCOP;EPICOP;CHOL;DiE;FM-FS;Hir;DiC;ECP;ECT;GA17;Dentium;Adolescentis;DA;HBSA-Y;HBSA-T
P3-CW19;8000;34545,4545454545;200000;210000;<200;0;0;0;0;0;<100;<1;175;<1;40;0,547;25;75;8;0,5;100;<100;0;0;0;<10000;36363,6363636364
P4-HM13;12000000;1800000;10000;490000;260000;80000;10;45;30;15;4500;64,6;17,8;2,7;30,8;0,917;58;29;0,971;88;88;1600;0;1;1;1800000;26000000
P4-HM14;3500000;1000000;12000;300000;140000;40000;2;32;45;21;19000;35,4;10,1;1,2;26,4;0,978;67;12;0,957;83;83;1100;1;1;2;810000;7900000
P4-HM15;19000000;1900000;18000;1100000;160000;30000;10;28;51;11;15000;106,2;19,4;3,6;43,2;0,96;67;17;0,967;92;92;2000;1;1;2;420000;2200000
P4-HM16;1800000;2100000;18000;700000;90000;40000;4;22;59;15;20000;91,3;15;0,5;37,6;0,924;88;12;0,975;83;83;1800;0;1;1;720000;1850000
P4-HM18;1400000;2400000;13000;600000;220000;50000;5;28;49;18;20000;32,2;15;9,8;24,2;0,96;79;17;0,949;83;83;3500;0;1;1;1300000;2700000
P4-HM19;12000000;2000000;35000;1100000;130000;40000;19;22;50;9;6500;30,8;15,7;2,5;22,8;0,895;79;12;0,96;96;96;8200;0;1;1;6100000;97000000
P4-HM20;11000000;2600000;15000;1100000;11000;45000;10;32;45;13;9500;34,4;15,4;4,5;25,8;0,931;71;25;0,946;79;79;7700;0;1;1;2100000;6400000
P4-HM21;14000000;2200000;25000;140000;150000;55000;8;21;59;12;11000;23,2;16,6;5,8;18,3;0,895;79;8;0,979;89;86;2900;0;1;1;3400000;8500000
P4-HM22;1500000;2200000;15000;950000;170000;70000;14;64;5;17;7200;36,1;14,6;<1;27;0,975;71;17;0,989;92;92;2100;0;1;1;3000000;5200000
P4-CW05;15000000;20000000;90000;2200000;9100;5000;49;12;6;33;<50;13,3;83,4;12,8;58,7;0,924;17;17;0,866;96;96;<50;0;1;1;<10E+04;2300000
P4-CW07;41000000;18000000;200000;31000000;14000;7000;33;25;17;25;<50;3,5;34,9;<0,1;17,7;0,812;8;46;0,873;100;100;<50;0;0;0;<10E+05;7100000
